0.050,0.000,0.000,0.000,0.000
0.150,16.000,0.000,0.000,0.000
0.250,9.000,0.000,0.000,0.000
0.350,7.000,0.000,0.000,0.000
0.450,11.000,0.000,0.000,0.000
0.550,14.000,0.000,0.000,0.000
0.650,15.000,0.000,0.000,0.000
0.750,18.000,0.000,0.000,0.000
0.850,13.000,0.000,0.000,0.000
0.950,18.000,0.000,0.000,0.000
1.050,16.000,0.000,0.000,0.000
1.150,14.000,0.000,0.000,0.000
1.250,9.000,0.000,0.000,0.000
1.350,12.000,0.000,0.000,0.000
1.450,21.000,0.000,0.000,0.000
1.550,17.000,0.000,0.000,0.000
1.650,16.000,0.000,0.000,0.000
1.750,16.000,0.000,0.000,0.000
1.850,10.000,0.000,0.000,0.000
1.950,15.000,0.000,0.000,0.000
2.050,16.000,0.000,0.000,0.000
2.150,7.000,0.000,0.000,0.000
2.250,11.000,0.000,0.000,0.000
2.350,14.000,0.000,0.000,0.000
2.450,19.000,0.000,0.000,0.000
2.550,16.000,0.000,0.000,0.000
2.650,19.000,0.000,0.000,0.000
2.750,15.000,0.000,0.000,0.000
2.850,22.000,0.000,0.000,0.000
2.950,10.000,0.000,0.000,0.000
3.050,23.000,0.000,0.000,0.000
3.150,12.000,0.000,0.000,0.000
3.250,21.000,0.000,0.000,0.000
3.350,15.000,0.000,0.000,0.000
3.450,14.000,0.000,0.000,0.000
3.550,14.000,0.000,0.000,0.000
3.650,12.000,0.000,0.000,0.000
3.750,10.000,0.000,0.000,0.000
3.850,10.000,0.000,0.000,0.000
3.950,6.000,0.000,0.000,0.000
4.050,14.000,0.000,0.000,0.000
4.150,15.000,0.000,0.000,0.000
4.250,11.000,0.000,0.000,0.000
4.350,9.000,0.000,0.000,0.000
4.450,14.000,0.000,0.000,0.000
4.550,16.000,0.000,0.000,0.000
4.650,11.000,0.000,0.000,0.000
4.750,19.000,0.000,0.000,0.000
4.850,20.000,0.000,0.000,0.000
4.950,15.000,0.000,0.000,0.000
5.050,13.000,0.000,0.000,0.000
5.150,15.000,0.000,0.000,0.000
5.250,16.000,0.000,0.000,0.000
5.350,13.000,0.000,0.000,0.000
5.450,16.000,0.000,0.000,0.000
5.550,11.000,0.000,0.000,0.000
5.650,12.000,0.000,0.000,0.000
5.750,13.000,0.000,0.000,0.000
5.850,8.000,0.000,0.000,0.000
5.950,7.000,0.000,0.000,0.000
6.050,13.000,0.000,0.000,0.000
6.150,21.000,0.000,0.000,0.000
6.250,9.000,0.000,0.000,0.000
6.350,17.000,0.000,0.000,0.000
6.450,17.000,0.000,0.000,0.000
6.550,15.000,0.000,0.000,0.000
6.650,13.000,0.000,0.000,0.000
6.750,8.000,0.000,0.000,0.000
6.850,13.000,0.000,0.000,0.000
6.950,8.000,0.000,0.000,0.000
7.050,12.000,0.000,0.000,0.000
7.150,13.000,0.000,0.000,0.000
7.250,15.000,0.000,0.000,0.000
7.350,9.000,0.000,0.000,0.000
7.450,15.000,0.000,0.000,0.000
7.550,11.000,0.000,0.000,0.000
7.650,12.000,0.000,0.000,0.000
7.750,17.000,0.000,0.000,0.000
7.850,14.000,0.000,0.000,0.000
7.950,13.000,0.000,0.000,0.000
8.050,20.000,0.000,0.000,0.000
8.150,14.000,0.000,0.000,0.000
8.250,16.000,0.000,0.000,0.000
8.350,19.000,0.000,0.000,0.000
8.450,13.000,0.000,0.000,0.000
8.550,15.000,0.000,0.000,0.000
8.650,17.000,0.000,0.000,0.000
